

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/08/2026,"FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin)",TSM,"TAIWAN SEMICONDUCTOR MANUFACTURING SPON",Margin,,0.000,,,,-22.95,3204.92,
01/08/2026,"DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin)",TSM,"TAIWAN SEMICONDUCTOR MANUFACTURING SPON",Margin,,0.000,,,,109.29,3227.87,
12/31/2025,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,5.91,,,,-5.91,3118.58,
12/31/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,5.91,3118.58,
12/31/2025,"DIVIDEND RECEIVED EXCHANGE TRADED CONCEPTS TRUST RANGE... (NUKZ) (Margin)",NUKZ,"EXCHANGE TRADED CONCEPTS TRUST RANGE NU",Margin,,0.000,,,,131.11,3112.67,
12/30/2025,"DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Margin)",PSA,"PUBLIC STORAGE OPER CO COM",Margin,,0.000,,,,62.18,2981.56,
12/24/2025,"DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Margin)",VTV,"VANGUARD INDEX FDS VANGUARD VALUE ETF F",Margin,,0.000,,,,129.3,2919.38,
12/24/2025,"DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin)",VOO,"VANGUARD INDEX FUNDS S&P 500 ETF USD",Margin,,0.000,,,,1046.07,2790.08,
12/19/2025,"DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Margin)",IHI,"ISHARES TR U.S. MED DVC ETF",Margin,,0.000,,,,13.84,1744.01,
12/18/2025,"DIVIDEND RECEIVED VERTIV HOLDINGS CO COM CL A (VRT) (Margin)",VRT,"VERTIV HOLDINGS CO COM CL A",Margin,,0.000,,,,4.81,1730.17,
12/15/2025,"DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Margin)",GOOGL,"ALPHABET INC CAP STK CL A",Margin,,0.000,,,,28.84,1725.36,
12/11/2025,"DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Margin)",MSFT,"MICROSOFT CORP",Margin,,0.000,,,,50.3,1696.52,
12/05/2025,"DIVIDEND RECEIVED CONSTELLATION ENERGY CORP COM (CEG) (Margin)",CEG,"CONSTELLATION ENERGY CORP COM",Margin,,0.000,,,,12.87,1646.22,
11/28/2025,"DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Margin)",SCHW,"SCHWAB CHARLES CORP COM",Margin,,0.000,,,,24.89,1633.35,
