Ticker,Weight
NVDA,7.99%
AAPL,6.69%
MSFT,6.25%
AMZN,4.09%
GOOGL,3.26%
AVGO,2.82%
GOOG,2.61%
META,2.46%
TSLA,2.11%
BRK.B,1.58%
JPM,1.55%
LLY,1.53%
V,1.04%
JNJ,0.87%
WMT,0.86%
MA,0.83%
PLTR,0.72%
ABBV,0.72%
COST,0.68%
NFLX,0.67%
MU,0.66%
BAC,0.65%
HD,0.60%
AMD,0.59%
GE,0.59%
ORCL,0.56%
PG,0.56%
UNH,0.54%
WFC,0.51%
CSCO,0.51%
GS,0.49%
CAT,0.49%
IBM,0.48%
MRK,0.47%
KO,0.45%
LRCX,0.44%
CRM,0.44%
RTX,0.43%
PM,0.42%
AMAT,0.40%
TMO,0.40%
MS,0.39%
ABT,0.38%
C,0.38%
MCD,0.38%
ISRG,0.37%
AXP,0.35%
LIN,0.35%
DIS,0.35%
QCOM,0.34%
INTC,0.33%
PEP,0.33%
AMGN,0.32%
INTU,0.32%
GEV,0.31%
UBER,0.31%
KLAC,0.31%
BA,0.31%
BKNG,0.31%
TJX,0.30%
APP,0.30%
SCHW,0.30%
APH,0.30%
ACN,0.30%
T,0.30%
VZ,0.29%
TXN,0.29%
SPGI,0.29%
NEE,0.28%
COF,0.28%
NOW,0.27%
GILD,0.27%
BLK,0.27%
DHR,0.26%
BSX,0.25%
ADI,0.25%
PFE,0.25%
ADBE,0.25%
LOW,0.24%
ANET,0.23%
UNP,0.23%
PANW,0.23%
MDT,0.22%
WELL,0.22%
SYK,0.22%
HON,0.22%
ETN,0.22%
VRTX,0.21%
PGR,0.21%
CRWD,0.21%
DE,0.21%
PLD,0.21%
NEM,0.20%
BMY,0.20%
PH,0.20%
BX,0.20%
CB,0.20%
ADP,0.18%
CEG,0.18%
MCK,0.18%
CMCSA,0.18%
CVS,0.18%
LMT,0.18%
SBUX,0.17%
CME,0.17%
SNPS,0.17%
SO,0.17%
TMUS,0.16%
ICE,0.16%
HOOD,0.16%
MO,0.16%
DUK,0.16%
KKR,0.16%
MMC,0.16%
GD,0.15%
CDNS,0.15%
MMM,0.15%
DASH,0.15%
USB,0.15%
HWM,0.15%
PNC,0.15%
BK,0.15%
TT,0.14%
CRH,0.14%
REGN,0.14%
MCO,0.14%
ELV,0.14%
WM,0.14%
EMR,0.14%
FCX,0.14%
AMT,0.14%
TDG,0.14%
UPS,0.14%
NOC,0.13%
ORLY,0.13%
RCL,0.13%
GM,0.13%
SHW,0.13%
EQIX,0.13%
NKE,0.13%
AON,0.13%
HCA,0.13%
CMI,0.13%
CI,0.13%
MAR,0.12%
WBD,0.12%
JCI,0.12%
GLW,0.12%
WDC,0.12%
ECL,0.12%
HLT,0.12%
TEL,0.12%
STX,0.12%
APO,0.12%
FDX,0.12%
MDLZ,0.12%
AJG,0.12%
COR,0.11%
CSX,0.11%
ITW,0.11%
PWR,0.11%
TFC,0.11%
CVNA,0.11%
CTAS,0.11%
NSC,0.11%
TRV,0.11%
MSI,0.11%
ADSK,0.11%
CL,0.11%
ROST,0.11%
AEP,0.11%
PCAR,0.11%
NXPI,0.10%
SPG,0.10%
ABNB,0.10%
APD,0.10%
BDX,0.10%
LHX,0.10%
IDXX,0.10%
SRE,0.10%
COIN,0.10%
URI,0.10%
ZTS,0.10%
AZO,0.10%
PYPL,0.10%
MNST,0.09%
ALL,0.09%
F,0.09%
O,0.09%
AFL,0.09%
CMG,0.09%
FTNT,0.09%
DLR,0.09%
SNDK,0.09%
VST,0.09%
EW,0.09%
AXON,0.09%
CAH,0.09%
CBRE,0.08%
D,0.08%
AME,0.08%
ROP,0.08%
TGT,0.08%
FAST,0.08%
DAL,0.08%
CTVA,0.08%
MPWR,0.08%
AMP,0.08%
DDOG,0.08%
ROK,0.08%
EA,0.08%
WDAY,0.08%
NDAQ,0.08%
TTWO,0.08%
GWW,0.08%
MSCI,0.08%
EXC,0.08%
XEL,0.08%
MET,0.08%
RSG,0.07%
A,0.07%
PSA,0.07%
YUM,0.07%
AIG,0.07%
CARR,0.07%
IQV,0.07%
PRU,0.07%
ETR,0.07%
EBAY,0.07%
CTSH,0.07%
MCHP,0.07%
XYZ,0.07%
GEHC,0.07%
PEG,0.07%
VMC,0.07%
DHI,0.07%
HIG,0.07%
UAL,0.07%
MLM,0.07%
NUE,0.07%
STT,0.06%
CCI,0.06%
FISV,0.06%
KDP,0.06%
FICO,0.06%
WAB,0.06%
FIX,0.06%
KEYS,0.06%
DELL,0.06%
PAYX,0.06%
RMD,0.06%
KR,0.06%
ED,0.06%
VTR,0.06%
ARES,0.06%
CCL,0.06%
EXPE,0.06%
TER,0.06%
FIS,0.06%
SYY,0.06%
OTIS,0.06%
ACGL,0.06%
GRMN,0.06%
WEC,0.06%
PCG,0.06%
CPRT,0.06%
XYL,0.06%
HUM,0.06%
FITB,0.06%
KMB,0.06%
MTB,0.06%
KVUE,0.06%
IBKR,0.06%
WTW,0.06%
DG,0.05%
SYF,0.05%
VRSK,0.05%
ODFL,0.05%
MTD,0.05%
HPE,0.05%
VICI,0.05%
IR,0.05%
ULTA,0.05%
RJF,0.05%
EME,0.05%
HBAN,0.05%
NRG,0.05%
EXR,0.05%
ADM,0.05%
DOV,0.05%
BIIB,0.05%
DXCM,0.05%
NTRS,0.05%
AEE,0.05%
TPR,0.05%
CBOE,0.05%
DTE,0.05%
HSY,0.05%
ATO,0.05%
TSCO,0.05%
CFG,0.05%
CSGP,0.05%
EFX,0.05%
EL,0.05%
FSLR,0.04%
IRM,0.04%
BR,0.04%
PPL,0.04%
AVB,0.04%
STE,0.04%
CINF,0.04%
LDOS,0.04%
HUBB,0.04%
RF,0.04%
ON,0.04%
DLTR,0.04%
VLTO,0.04%
AWK,0.04%
TDY,0.04%
OMC,0.04%
CNP,0.04%
ES,0.04%
JBL,0.04%
WAT,0.04%
WSM,0.04%
PPG,0.04%
DRI,0.04%
TROW,0.04%
BRO,0.04%
FE,0.04%
STLD,0.04%
PHM,0.04%
GIS,0.04%
LULU,0.04%
LYV,0.04%
EIX,0.04%
CPAY,0.04%
LEN,0.04%
LUV,0.04%
NVR,0.04%
EQR,0.04%
CNC,0.04%
CMS,0.04%
EXPD,0.04%
LH,0.04%
PODD,0.04%
PTC,0.04%
IP,0.04%
NTAP,0.04%
SW,0.04%
WRB,0.04%
VRSN,0.04%
CHD,0.04%
WST,0.03%
DGX,0.03%
STZ,0.03%
NI,0.03%
KEY,0.03%
CHRW,0.03%
HPQ,0.03%
KHC,0.03%
AMCR,0.03%
SBAC,0.03%
TYL,0.03%
TRMB,0.03%
ALB,0.03%
Q,0.03%
LVS,0.03%
PKG,0.03%
ZBH,0.03%
GPN,0.03%
SNA,0.03%
INCY,0.03%
CHTR,0.03%
PFG,0.03%
DD,0.03%
L,0.03%
IT,0.03%
APTV,0.03%
DOW,0.03%
ROL,0.03%
IFF,0.03%
FTV,0.03%
GPC,0.03%
TTD,0.03%
CDW,0.03%
COO,0.03%
WY,0.03%
EVRG,0.03%
HOLX,0.03%
LNT,0.03%
MKC,0.03%
J,0.03%
PNR,0.03%
ESS,0.03%
LII,0.03%
TSN,0.03%
