Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
7.99%,NVDA,NVIDIA CORP,--,"$6,089,531.11 ","32,201"
6.69%,AAPL,APPLE INC,--,"$5,097,521.73 ","19,581"
6.25%,MSFT,MICROSOFT CORP,--,"$4,761,696.03 ","9,849"
4.09%,AMZN,AMAZON.COM INC,--,"$3,114,191.52 ","12,892"
3.26%,GOOGL,ALPHABET INC-CL A,--,"$2,482,465.80 ","7,710"
2.82%,AVGO,BROADCOM INC,--,"$2,149,623.00 ","6,258"
2.61%,GOOG,ALPHABET INC-CL C,--,"$1,986,813.66 ","6,162"
2.46%,META,META PLATFORMS INC-CLASS A,--,"$1,872,119.34 ","2,886"
2.11%,TSLA,TESLA INC,--,"$1,606,570.84 ","3,724"
1.58%,BRK/B,BERKSHIRE HATHAWAY INC-CL B,--,"$1,205,571.60 ","2,430"
1.55%,JPM,JPMORGAN CHASE & CO,--,"$1,179,779.92 ","3,608"
1.53%,LLY,ELI LILLY & CO,--,"$1,165,710.68 ","1,052"
1.04%,V,VISA INC-CLASS A SHARES,--,"$795,747.68 ","2,236"
0.87%,JNJ,JOHNSON & JOHNSON,--,"$662,515.57 ","3,193"
0.86%,WMT,WALMART INC,--,"$655,128.64 ","5,812"
0.83%,MA,MASTERCARD INC - A,--,"$629,793.12 ","1,086"
0.72%,PLTR,PALANTIR TECHNOLOGIES INC-A,--,"$549,945.36 ","3,027"
0.72%,ABBV,ABBVIE INC,--,"$546,669.64 ","2,342"
0.68%,COST,COSTCO WHOLESALE CORP,--,"$518,074.46 ",587
0.67%,NFLX,NETFLIX INC,--,"$509,539.68 ","5,616"
0.66%,MU,MICRON TECHNOLOGY INC,--,"$504,910.85 ","1,487"
0.65%,BAC,BANK OF AMERICA CORP,--,"$495,418.56 ","8,904"
0.60%,HD,HOME DEPOT INC,--,"$460,759.20 ","1,320"
0.59%,AMD,ADVANCED MICRO DEVICES,--,"$453,013.14 ","2,157"
0.59%,GE,GENERAL ELECTRIC,--,"$452,448.72 ","1,398"
0.56%,ORCL,ORACLE CORP,--,"$429,840.36 ","2,229"
0.56%,PG,PROCTER & GAMBLE CO/THE,--,"$427,509.88 ","3,097"
0.54%,UNH,UNITEDHEALTH GROUP INC,--,"$410,381.70 ","1,201"
0.51%,WFC,WELLS FARGO & CO,--,"$392,246.40 ","4,160"
0.51%,CSCO,CISCO SYSTEMS INC,--,"$390,187.84 ","5,222"
0.49%,GS,GOLDMAN SACHS GROUP INC,--,"$374,525.96 ",398
0.49%,CAT,CATERPILLAR INC,--,"$369,842.40 ",620
0.48%,IBM,INTL BUSINESS MACHINES CORP,--,"$367,648.47 ","1,239"
0.47%,MRK,MERCK & CO. INC.,--,"$357,185.40 ","3,289"
0.45%,KO,COCA-COLA CO/THE,--,"$346,480.20 ","5,130"
0.44%,LRCX,LAM RESEARCH CORP,--,"$338,128.20 ","1,665"
0.44%,CRM,SALESFORCE INC,--,"$335,843.44 ","1,262"
0.43%,RTX,RTX CORP,--,"$329,856.48 ","1,776"
0.42%,PM,PHILIP MORRIS INTERNATIONAL,--,"$320,229.60 ","2,064"
0.40%,AMAT,APPLIED MATERIALS INC,--,"$308,271.00 ","1,055"
0.40%,TMO,THERMO FISHER SCIENTIFIC INC,--,"$307,957.85 ",499
0.39%,MS,MORGAN STANLEY,--,"$295,848.79 ","1,601"
0.38%,ABT,ABBOTT LABORATORIES,--,"$292,700.16 ","2,304"
0.38%,C,CITIGROUP INC,--,"$287,768.27 ","2,371"
0.38%,MCD,MCDONALD'S CORP,--,"$287,127.04 ",944
0.37%,ISRG,INTUITIVE SURGICAL INC,--,"$278,366.90 ",470
0.35%,AXP,AMERICAN EXPRESS CO,--,"$269,292.64 ",712
0.35%,LIN,LINDE PLC,--,"$268,732.66 ",619
0.35%,DIS,WALT DISNEY CO/THE,--,"$267,145.06 ","2,366"
0.34%,QCOM,QUALCOMM INC,--,"$255,689.61 ","1,419"
0.33%,INTC,INTEL CORP,--,"$253,307.46 ","5,942"
0.33%,PEP,PEPSICO INC,--,"$248,125.11 ","1,811"
0.32%,AMGN,AMGEN INC,--,"$243,930.96 ",714
0.32%,INTU,INTUIT INC,--,"$240,274.35 ",369
0.31%,GEV,GE VERNOVA INC,--,"$237,772.88 ",359
0.31%,UBER,UBER TECHNOLOGIES INC,--,"$237,281.07 ","2,753"
0.31%,KLAC,KLA CORP,--,"$236,586.06 ",174
0.31%,BA,BOEING CO/THE,--,"$236,560.44 ","1,037"
0.31%,BKNG,BOOKING HOLDINGS INC,--,"$234,165.96 ",43
0.30%,TJX,TJX COMPANIES INC,--,"$227,209.00 ","1,475"
0.30%,APP,APPLOVIN CORP-CLASS A,--,"$226,585.36 ",358
0.30%,SCHW,SCHWAB (CHARLES) CORP,--,"$225,571.09 ","2,213"
0.30%,APH,AMPHENOL CORP-CL A,--,"$225,312.02 ","1,622"
0.30%,ACN,ACCENTURE PLC-CL A,--,"$225,211.56 ",822
0.30%,T,AT&T INC,--,"$225,174.18 ","9,394"
0.29%,VZ,VERIZON COMMUNICATIONS INC,--,"$224,206.31 ","5,587"
0.29%,TXN,TEXAS INSTRUMENTS INC,--,"$223,780.55 ","1,205"
0.29%,SPGI,S&P GLOBAL INC,--,"$220,912.50 ",411
0.28%,NEE,NEXTERA ENERGY INC,--,"$216,222.83 ","2,759"
0.28%,COF,CAPITAL ONE FINANCIAL CORP,--,"$213,489.75 ",843
0.27%,NOW,SERVICENOW INC,--,"$207,487.50 ","1,375"
0.27%,GILD,GILEAD SCIENCES INC,--,"$204,431.40 ","1,644"
0.27%,BLK,BLACKROCK INC,--,"$204,267.10 ",190
0.26%,DHR,DANAHER CORP,--,"$196,229.81 ",833
0.25%,BSX,BOSTON SCIENTIFIC CORP,--,"$193,847.25 ","1,965"
0.25%,ADI,ANALOG DEVICES INC,--,"$190,964.28 ",652
0.25%,PFE,PFIZER INC,--,"$190,484.80 ","7,535"
0.25%,ADBE,ADOBE INC,--,"$187,645.50 ",555
0.24%,LOW,LOWE'S COS INC,--,"$183,610.16 ",743
0.23%,ANET,ARISTA NETWORKS INC,--,"$177,949.44 ","1,368"
0.23%,UNP,UNION PACIFIC CORP,--,"$176,441.28 ",786
0.23%,PANW,PALO ALTO NETWORKS INC,--,"$175,867.30 ",907
0.22%,MDT,MEDTRONIC PLC,--,"$169,609.00 ","1,700"
0.22%,WELL,WELLTOWER INC,--,"$168,941.50 ",910
0.22%,SYK,STRYKER CORP,--,"$168,061.75 ",457
0.22%,HON,HONEYWELL INTERNATIONAL INC,--,"$167,787.91 ",841
0.22%,ETN,EATON CORP PLC,--,"$166,175.05 ",515
0.21%,VRTX,VERTEX PHARMACEUTICALS INC,--,"$162,674.40 ",336
0.21%,PGR,PROGRESSIVE CORP,--,"$162,470.70 ",777
0.21%,CRWD,CROWDSTRIKE HOLDINGS INC - A,--,"$158,998.12 ",332
0.21%,DE,DEERE & CO,--,"$158,241.60 ",333
0.21%,PLD,PROLOGIS INC,--,"$156,340.80 ","1,232"
0.20%,NEM,NEWMONT CORP,--,"$156,182.46 ","1,446"
0.20%,BMY,BRISTOL-MYERS SQUIBB CO,--,"$153,030.56 ","2,698"
0.20%,PH,PARKER HANNIFIN CORP,--,"$151,701.13 ",167
0.20%,BX,BLACKSTONE INC,--,"$150,211.02 ",978
0.20%,CB,CHUBB LTD,--,"$149,022.18 ",486
0.18%,ADP,AUTOMATIC DATA PROCESSING,--,"$140,296.62 ",537
0.18%,CEG,CONSTELLATION ENERGY,--,"$140,192.82 ",414
0.18%,MCK,MCKESSON CORP,--,"$135,127.80 ",164
0.18%,CMCSA,COMCAST CORP-CLASS A,--,"$134,366.40 ","4,816"
0.18%,CVS,CVS HEALTH CORP,--,"$134,206.78 ","1,682"
0.18%,LMT,LOCKHEED MARTIN CORP,--,"$133,658.03 ",269
0.17%,SBUX,STARBUCKS CORP,--,"$130,641.83 ","1,507"
0.17%,CME,CME GROUP INC,--,"$127,551.91 ",478
0.17%,SNPS,SYNOPSYS INC,--,"$127,326.50 ",245
0.17%,SO,SOUTHERN CO/THE,--,"$125,867.93 ","1,459"
0.16%,TMUS,T-MOBILE US INC,--,"$125,673.73 ",637
0.16%,ICE,INTERCONTINENTAL EXCHANGE IN,--,"$122,411.52 ",756
0.16%,HOOD,ROBINHOOD MARKETS INC - A,--,"$121,882.74 ","1,042"
0.16%,MO,ALTRIA GROUP INC,--,"$121,752.00 ","2,225"
0.16%,DUK,DUKE ENERGY CORP,--,"$119,791.89 ","1,031"
0.16%,KKR,KKR & CO INC,--,"$119,055.30 ",910
0.16%,MMC,MARSH & MCLENNAN COS,--,"$118,702.10 ",649
0.15%,GD,GENERAL DYNAMICS CORP,--,"$115,789.40 ",335
0.15%,CDNS,CADENCE DESIGN SYS INC,--,"$115,394.40 ",360
0.15%,MMM,3M CO,--,"$114,688.64 ",704
0.15%,DASH,DOORDASH INC - A,--,"$114,337.92 ",496
0.15%,USB,US BANCORP,--,"$113,087.07 ","2,061"
0.15%,HWM,HOWMET AEROSPACE INC,--,"$112,620.60 ",534
0.15%,PNC,PNC FINANCIAL SERVICES GROUP,--,"$112,460.40 ",520
0.15%,BK,BANK OF NEW YORK MELLON CORP,--,"$111,175.35 ",923
0.14%,TT,TRANE TECHNOLOGIES PLC,--,"$110,293.99 ",293
0.14%,CRH,CRH PLC,--,"$109,117.44 ",888
0.14%,REGN,REGENERON PHARMACEUTICALS,--,"$108,844.18 ",134
0.14%,MCO,MOODY'S CORP,--,"$107,882.32 ",203
0.14%,ELV,ELEVANCE HEALTH INC,--,"$107,806.86 ",294
0.14%,WM,WASTE MANAGEMENT INC,--,"$106,257.24 ",492
0.14%,EMR,EMERSON ELECTRIC CO,--,"$105,759.60 ",744
0.14%,FCX,FREEPORT-MCMORAN INC,--,"$105,561.00 ","1,902"
0.14%,AMT,AMERICAN TOWER CORP,--,"$105,052.80 ",620
0.14%,TDG,TRANSDIGM GROUP INC,--,"$103,893.75 ",75
0.14%,UPS,UNITED PARCEL SERVICE-CL B,--,"$103,301.80 ",980
0.13%,NOC,NORTHROP GRUMMAN CORP,--,"$102,707.78 ",178
0.13%,ORLY,O'REILLY AUTOMOTIVE INC,--,"$101,661.15 ","1,119"
0.13%,RCL,ROYAL CARIBBEAN CRUISES LTD,--,"$101,613.12 ",336
0.13%,GM,GENERAL MOTORS CO,--,"$101,240.76 ","1,236"
0.13%,SHW,SHERWIN-WILLIAMS CO/THE,--,"$101,080.05 ",305
0.13%,EQIX,EQUINIX INC,--,"$100,951.50 ",130
0.13%,NKE,NIKE INC -CL B,--,"$99,634.72 ","1,576"
0.13%,AON,AON PLC-CLASS A,--,"$99,377.28 ",284
0.13%,HCA,HCA HEALTHCARE INC,--,"$99,307.15 ",211
0.13%,CMI,CUMMINS INC,--,"$98,642.49 ",183
0.13%,CI,THE CIGNA GROUP,--,"$98,529.36 ",353
0.12%,MAR,MARRIOTT INTERNATIONAL -CL A,--,"$94,181.70 ",295
0.12%,WBD,WARNER BROS DISCOVERY INC,--,"$93,860.97 ","3,283"
0.12%,JCI,JOHNSON CONTROLS INTERNATION,--,"$91,052.10 ",810
0.12%,GLW,CORNING INC,--,"$90,981.66 ","1,034"
0.12%,WDC,WESTERN DIGITAL CORP,--,"$90,745.52 ",454
0.12%,ECL,ECOLAB INC,--,"$90,568.75 ",337
0.12%,HLT,HILTON WORLDWIDE HOLDINGS IN,--,"$90,104.50 ",307
0.12%,TEL,TE CONNECTIVITY PLC,--,"$89,540.10 ",390
0.12%,STX,SEAGATE TECHNOLOGY HOLDINGS,--,"$88,778.88 ",288
0.12%,APO,APOLLO GLOBAL MANAGEMENT INC,--,"$88,732.20 ",615
0.12%,FDX,FEDEX CORP,--,"$88,203.71 ",287
0.12%,MDLZ,MONDELEZ INTERNATIONAL INC-A,--,"$88,082.10 ","1,710"
0.12%,AJG,ARTHUR J GALLAGHER & CO,--,"$88,060.00 ",340
0.11%,COR,CENCORA INC,--,"$87,144.96 ",256
0.11%,CSX,CSX CORP,--,"$86,503.40 ","2,468"
0.11%,ITW,ILLINOIS TOOL WORKS,--,"$86,199.51 ",349
0.11%,PWR,QUANTA SERVICES INC,--,"$86,067.33 ",197
0.11%,TFC,TRUIST FINANCIAL CORP,--,"$85,733.10 ","1,695"
0.11%,CVNA,CARVANA CO,--,"$84,746.64 ",188
0.11%,CTAS,CINTAS CORP,--,"$84,575.10 ",453
0.11%,NSC,NORFOLK SOUTHERN CORP,--,"$84,374.73 ",297
0.11%,TRV,TRAVELERS COS INC/THE,--,"$83,541.05 ",295
0.11%,MSI,MOTOROLA SOLUTIONS INC,--,"$83,047.80 ",220
0.11%,ADSK,AUTODESK INC,--,"$82,848.78 ",282
0.11%,CL,COLGATE-PALMOLIVE CO,--,"$82,409.21 ","1,069"
0.11%,ROST,ROSS STORES INC,--,"$80,779.68 ",432
0.11%,AEP,AMERICAN ELECTRIC POWER,--,"$80,613.30 ",709
0.11%,PCAR,PACCAR INC,--,"$80,248.80 ",696
0.10%,NXPI,NXP SEMICONDUCTORS NV,--,"$79,700.22 ",333
0.10%,SPG,SIMON PROPERTY GROUP INC,--,"$79,650.35 ",433
0.10%,ABNB,AIRBNB INC-CLASS A,--,"$77,290.56 ",564
0.10%,APD,AIR PRODUCTS & CHEMICALS INC,--,"$76,989.78 ",294
0.10%,BDX,BECTON DICKINSON AND CO,--,"$76,827.09 ",379
0.10%,LHX,L3HARRIS TECHNOLOGIES INC,--,"$76,510.72 ",247
0.10%,IDXX,IDEXX LABORATORIES INC,--,"$75,742.30 ",106
0.10%,SRE,SEMPRA,--,"$74,701.40 ",865
0.10%,COIN,COINBASE GLOBAL INC -CLASS A,--,"$74,270.86 ",302
0.10%,URI,UNITED RENTALS INC,--,"$73,993.92 ",84
0.10%,ZTS,ZOETIS INC,--,"$73,391.28 ",584
0.10%,AZO,AUTOZONE INC,--,"$72,997.76 ",22
0.10%,PYPL,PAYPAL HOLDINGS INC,--,"$72,610.91 ","1,241"
0.09%,MNST,MONSTER BEVERAGE CORP,--,"$71,961.75 ",945
0.09%,ALL,ALLSTATE CORP,--,"$71,715.42 ",346
0.09%,F,FORD MOTOR CO,--,"$71,255.64 ","5,186"
0.09%,O,REALTY INCOME CORP,--,"$69,967.00 ","1,220"
0.09%,AFL,AFLAC INC,--,"$68,868.75 ",625
0.09%,CMG,CHIPOTLE MEXICAN GRILL INC,--,"$68,100.24 ","1,752"
0.09%,FTNT,FORTINET INC,--,"$67,056.76 ",838
0.09%,DLR,DIGITAL REALTY TRUST INC,--,"$66,284.36 ",428
0.09%,SNDK,SANDISK CORP,--,"$65,408.60 ",185
0.09%,VST,VISTRA CORP,--,"$65,395.80 ",423
0.09%,EW,EDWARDS LIFESCIENCES CORP,--,"$65,319.10 ",770
0.09%,AXON,AXON ENTERPRISE INC,--,"$65,195.55 ",105
0.09%,CAH,CARDINAL HEALTH INC,--,"$65,057.66 ",314
0.08%,CBRE,CBRE GROUP INC - A,--,"$64,702.37 ",389
0.08%,D,DOMINION ENERGY INC,--,"$64,557.48 ","1,131"
