Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/31/24,REINVESTMENT as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,36.19,57.6,,,,-2084.55,901.18,
12/31/24,REINVESTMENT as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,36.19,6.071,,,,-219.7,2985.73,
12/31/24,REINVESTMENT as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,36.19,0.637,,,,-23.07,3205.43,
12/31/24,DIVIDEND RECEIVED as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,,0,,,,219.7,3228.5,
12/31/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,11.23,,,,-11.23,3008.8,
12/31/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,11.23,3008.8,
12/31/24,DIVIDEND RECEIVED EXCHANGE TRADED CONCEPTS TRUST RANGE... (NUKZ) (Margin),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NU,Margin,,0,,,,3.24,2997.57,
12/31/24,SHORT-TERM CAP GAIN as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,,0,,,,23.07,2994.33,
12/31/24,LONG-TERM CAP GAIN as of Dec-30-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Margin),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Margin,,0,,,,2084.55,2971.26,
12/31/24,SHORT-TERM CAP GAIN EXCHANGE TRADED CONCEPTS TRUST RANGE... (NUKZ) (Margin),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NU,Margin,,0,,,,1.06,886.71,
12/30/24,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash),PSA,PUBLIC STORAGE OPER CO COM,Cash,,0,,,,62.18,885.65,
12/26/24,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Margin),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Margin,,0,,,,128.51,823.47,
12/26/24,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,,0,,,,582.75,694.96,
12/20/24,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash),IHI,ISHARES TR U.S. MED DVC ETF,Cash,,0,,,,23.55,112.21,
12/16/24,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,,0,,,,27.47,88.66,
12/12/24,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,,0,,,,15.66,61.19,
12/10/24,YOU BOUGHT HIMS &HERS HEALTH INC COM CL A (HIMS) (Cash),HIMS,HIMS &HERS HEALTH INC COM CL A,Cash,30,166,,,,-4980,45.53,12/11/24
12/10/24,YOU BOUGHT EXCHANGE TRADED CONCEPTS TRUST RANGE... (NUKZ) (Cash),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NU,Cash,43,116,,,,-4988,5025.53,12/11/24
12/9/24,YOU BOUGHT VERTIV HOLDINGS CO COM CL A (VRT) (Cash),VRT,VERTIV HOLDINGS CO COM CL A,Cash,130,77,,,,-10010,10013.53,12/10/24
12/5/24,YOU SOLD VANECK ETF TRUST URANIUM AND NUCL (NLR) (Cash),NLR,VANECK ETF TRUST URANIUM AND NUCL,Cash,92.24,-0.904,,,,83.38,20023.53,12/6/24
12/5/24,YOU SOLD VANECK ETF TRUST URANIUM AND NUCL (NLR) (Cash),NLR,VANECK ETF TRUST URANIUM AND NUCL,Cash,92.24,-70,,0.18,,6456.63,19940.15,12/6/24
12/5/24,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Cash,607.5,-0.164,,,,99.63,13483.52,12/6/24
12/5/24,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Cash,607.43,-0.51,,,,309.79,13383.89,12/6/24
12/5/24,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Cash,607.43,-39,,0.66,,23689.11,13074.1,12/6/24
12/5/24,YOU BOUGHT MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,439.48,36,,,,-15821.28,-10615.01,12/6/24
12/5/24,YOU BOUGHT MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,439.55,0.406,,,,-178.46,5206.27,12/6/24
12/5/24,YOU SOLD J P MORGAN EXCHANGE TRADED FD BETABU... (BBJP) (Cash),BBJP,J P MORGAN EXCHANGE TRADED FD BETABULDR,Cash,58.87,-0.634,,,,37.32,5384.73,12/6/24
12/5/24,YOU SOLD J P MORGAN EXCHANGE TRADED FD BETABU... (BBJP) (Cash),BBJP,J P MORGAN EXCHANGE TRADED FD BETABULDR,Cash,58.87,-160,,0.27,,9419.69,5347.41,12/6/24
12/5/24,YOU SOLD INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,185.83,-0.227,,,,42.18,-4072.28,12/6/24
12/5/24,YOU SOLD INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,185.84,-60,,0.31,,11149.79,-4114.46,12/6/24
12/5/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,219.95,45,,,,-9897.75,-15264.25,12/6/24
12/5/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,219.97,0.464,,,,-102.07,-5366.5,12/6/24
