Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
2/17/26,JOURNALED JNL VS A/C TYPES (Cash),,No Description,Cash,,0,,,,26354.39,Processing,
2/17/26,JOURNALED JNL VS A/C TYPES (Margin),,No Description,Margin,,0,,,,-26354.39,Processing,
2/13/26,DIVIDEND RECEIVED COSTCO WHOLESALE CORP COM (COST) (Margin),COST,COSTCO WHOLESALE CORP COM,Margin,,0,,,,19.5,9226.26,
2/13/26,YOU BOUGHT VANECK ETF TRUST RARE EARTH AND S (REMX) (Cash),REMX,VANECK ETF TRUST RARE EARTH AND S,Cash,89.52,61,,,,-5460.72,9206.76,2/17/26
2/13/26,YOU BOUGHT VANECK ETF TRUST RARE EARTH AND S (REMX) (Cash),REMX,VANECK ETF TRUST RARE EARTH AND S,Cash,89.52,0.438,,,,-39.21,14667.48,2/17/26
2/13/26,YOU SOLD TOPBUILD CORP COM (BLD) (Margin),BLD,TOPBUILD CORP COM,Margin,550.71,-0.521,,,,286.92,14706.69,2/17/26
2/13/26,YOU SOLD TOPBUILD CORP COM (BLD) (Margin),BLD,TOPBUILD CORP COM,Margin,550.1,-19,,,,10451.9,14419.77,2/17/26
2/13/26,YOU BOUGHT SELECT SECTOR SPDR TRUST STATE STREE... (XLV) (Cash),XLV,SELECT SECTOR SPDR TRUST STATE STREET H,Cash,158.01,94,,,,-14852.94,3967.87,2/17/26
2/13/26,YOU BOUGHT SELECT SECTOR SPDR TRUST STATE STREE... (XLV) (Cash),XLV,SELECT SECTOR SPDR TRUST STATE STREET H,Cash,158.01,0.93,,,,-146.95,18820.81,2/17/26
2/13/26,YOU SOLD ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,58.38,-0.368,,,,21.48,18967.76,2/17/26
2/13/26,YOU SOLD ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,58.38,-100,,,,5837.5,18946.28,2/17/26
2/13/26,YOU SOLD ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,58.38,-119,,,,6946.63,13108.78,2/17/26
2/13/26,YOU SOLD HIMS &HERS HEALTH INC COM CL A (HIMS) (Margin),HIMS,HIMS &HERS HEALTH INC COM CL A,Margin,16.81,-166,,,,2790.46,6162.15,2/17/26
2/2/26,DIVIDEND RECEIVED as of Jan-31-2026 JPMORGAN CHASE &CO. COM (JPM) (Margin),JPM,JPMORGAN CHASE &CO. COM,Margin,,0,,,,60,3371.69,
2/2/26,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Margin),FCX,FREEPORT-MCMORAN INC COM USD0.10,Margin,,0,,,,29.37,3311.69,
1/30/26,DIVIDEND RECEIVED STATE STREET SPDR S&P 500 ETF UNITS (SPY) (Margin),SPY,STATE STREET SPDR S&P 500 ETF UNITS,Margin,,0,,,,68.33,3282.32,
1/30/26,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,9.07,,,,-9.07,3213.99,
1/30/26,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,9.07,3213.99,
1/8/26,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,-22.95,3204.92,
1/8/26,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,109.29,3227.87,
