Ticker,Weight
NVDA,7.73%
AAPL,6.85%
MSFT,6.13%
AMZN,3.83%
GOOGL,3.11%
AVGO,2.79%
GOOG,2.49%
META,2.45%
TSLA,2.16%
BRK.B,1.57%
LLY,1.46%
JPM,1.43%
V,0.99%
XOM,0.87%
JNJ,0.85%
WMT,0.83%
MA,0.80%
PLTR,0.69%
ABBV,0.69%
NFLX,0.68%
COST,0.65%
BAC,0.61%
AMD,0.59%
HD,0.58%
PG,0.57%
ORCL,0.56%
GE,0.55%
MU,0.55%
CSCO,0.52%
UNH,0.51%
WFC,0.50%
CVX,0.49%
IBM,0.47%
KO,0.46%
CAT,0.46%
MRK,0.45%
GS,0.43%
CRM,0.43%
PM,0.43%
RTX,0.42%
ABT,0.37%
TMO,0.37%
MCD,0.37%
LRCX,0.37%
MS,0.37%
AMAT,0.35%
DIS,0.35%
ISRG,0.34%
C,0.34%
LIN,0.34%
AXP,0.34%
PEP,0.33%
INTU,0.32%
QCOM,0.31%
APP,0.31%
GEV,0.30%
AMGN,0.30%
T,0.30%
BKNG,0.29%
VZ,0.29%
TJX,0.29%
BA,0.29%
UBER,0.29%
NEE,0.29%
SCHW,0.28%
ACN,0.28%
INTC,0.28%
APH,0.28%
SPGI,0.28%
KLAC,0.27%
NOW,0.27%
TXN,0.27%
BLK,0.26%
COF,0.26%
GILD,0.26%
ADBE,0.25%
DHR,0.25%
PFE,0.24%
BSX,0.24%
UNP,0.23%
ANET,0.23%
LOW,0.23%
PGR,0.23%
ADI,0.23%
WELL,0.22%
PANW,0.21%
HON,0.21%
ETN,0.21%
MDT,0.21%
SYK,0.21%
PLD,0.20%
CRWD,0.20%
DE,0.20%
COP,0.20%
VRTX,0.20%
CB,0.19%
BX,0.19%
PH,0.19%
CEG,0.19%
BMY,0.19%
NEM,0.19%
CMCSA,0.19%
ADP,0.18%
MCK,0.17%
CVS,0.17%
LMT,0.17%
CME,0.17%
TMUS,0.17%
MO,0.17%
SO,0.16%
SBUX,0.16%
ICE,0.16%
DUK,0.16%
MMC,0.16%
HOOD,0.15%
KKR,0.15%
SNPS,0.15%
TT,0.15%
GD,0.15%
CDNS,0.15%
MMM,0.15%
DASH,0.14%
CRH,0.14%
USB,0.14%
HWM,0.14%
AMT,0.14%
PNC,0.14%
WM,0.14%
BK,0.14%
MCO,0.13%
ELV,0.13%
REGN,0.13%
ORLY,0.13%
NOC,0.13%
GM,0.13%
AON,0.13%
NKE,0.13%
EQIX,0.13%
TDG,0.13%
SHW,0.13%
HCA,0.13%
EMR,0.13%
CI,0.13%
WMB,0.13%
UPS,0.13%
JCI,0.12%
FCX,0.12%
WBD,0.12%
RCL,0.12%
CMI,0.12%
MDLZ,0.12%
MAR,0.12%
GLW,0.12%
CSX,0.12%
APO,0.11%
TEL,0.11%
ECL,0.11%
HLT,0.11%
AJG,0.11%
COR,0.11%
ITW,0.11%
NSC,0.11%
TRV,0.11%
CTAS,0.11%
MSI,0.11%
CL,0.11%
ADSK,0.11%
TFC,0.11%
PWR,0.11%
FDX,0.11%
AEP,0.11%
SPG,0.10%
STX,0.10%
CVNA,0.10%
WDC,0.10%
ROST,0.10%
ABNB,0.10%
SRE,0.10%
PCAR,0.10%
SLB,0.10%
EOG,0.10%
AZO,0.10%
BDX,0.09%
ZTS,0.09%
APD,0.09%
